Channel Name,Country,Likes Avg.,Posts,Followers,Comments Avg.,Views Avg.,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,Engagement,Engagement per Follower,Likes per Post,Main video category
billieeilish,Unknown,8520777.667,684,104462435,45267.42265,15804630.0,7377994.0,5593146.8,4345861.5,0.064805141,4702157451.0,45.012902973207545,12457.277290935672,Unknown
dualipa,GB,2091782.107,1224,85085187,4827.426546,2892223.343,935806.8182,939716.1176,1173231.235,0.018537648,2009735122.0,23.620270376793083,1708.972309640523,Music
gal_gadot,US,1377079.5,1676,83763785,4787.181416,3104604.989,470165.3333,470165.3333,580991.4545,0.012006866,1760445880.0,21.01679001253346,821.6464797136039,Entertainment
vindiesel,US,1384972.667,1817,81632030,7997.02139,3097254.175,384524.0,384524.0,364442.0,0.012693786,1948085708.0,23.86423206675125,762.2304166208035,Film & Animation
priyankachopra,US,1580291.629,3545,80262430,4660.018248,3910075.544,0.0,2518390.0,1604862.857,0.014783911,4268824464.0,53.18583631220734,445.7804313117066,Autos & Vehicles
lalalalisa_m,Unknown,5650260.5,860,79870794,51630.40417,8284125.55,5049325.5,7494265.375,8190369.9,0.058718038,4064591995.0,50.88959044278438,6570.070348837209,Unknown
nasa,US,1172499.9,3522,78572117,3965.166884,2742669.772,614062.0,654025.6667,715564.7826,0.012579605,3543084890.0,45.09341259062678,332.90741056218053,Science & Technology
Shakira,Unknown,973225.6167,1976,75751033,6292.06181,4121447.828,124610.0,124610.0,310397.6667,0.010291939,1602772710.0,21.158427106862028,492.5230853744939,Unknown
gigihadid,US,2555316.25,3248,74890004,6586.713062,8933626.643,0.0,2063724.5,2063724.5,0.026047174,6389242565.0,85.3150250198945,786.7352986453202,Gaming & Apps
snoopdogg,Unknown,205719.2237,9995,74552708,2673.899294,1259594.406,79461.43478,138903.9464,134955.6612,0.002393954,1830388816.0,24.55160738091499,20.58221347673837,Movies
davidbeckham,US,1237162.25,1522,74516736,4077.069091,3354963.688,0.0,237234.0,421613.5,0.012811143,1520210569.0,20.40092804118527,812.8529894875164,Unknown
shraddhakapoor,Unknown,1609147.0,1872,73424750,6224.394537,2550143.938,825124.0,825124.0,825124.0,0.016021451,2262646359.0,30.815853768654303,859.5870726495726,Unknown
victoriassecret,US,148111.8364,2796,73016997,389.1310665,412003.2732,17489.5,23730.33333,22321.29412,0.001550663,388403784.1,5.3193612454371415,52.97275979971388,Unknown
k.mbappe,Unknown,2454367.867,1149,72335779,10607.11652,6006698.25,1332534.667,1462670.333,1754809.125,0.028674938,2441765852.0,33.755990268660824,2136.0903977371627,Sports
nehakakkar,IN,1530347.0,2298,70376999,7334.274016,4497085.661,0.0,329835.5,711477.75,0.016692846,2752194706.0,39.10645161212401,665.9473455178417,Music
shawnmendes,CA,3500515.0,2532,69407554,23995.50972,3180541.713,1678390.429,1678390.429,1831551.154,0.039420828,6930146828.0,99.84715536870814,1382.5098736176935,Music
nba,US,374008.6914,12610,68938585,1014.688845,1863379.104,205004.7667,202891.8657,223104.6272,0.004284871,3775917043.0,54.772186620888725,29.65969003965107,Sports
narendramodi,IN,2953851.5,537,68330604,24367.3431,5185283.813,0.0,1230562.0,1830545.6,0.032833921,1259306644.0,18.42961382281942,5500.654562383613,Pets & Animals
jennierubyjane,Unknown,5080827.583,857,68085856,42238.50149,5690914.514,0.0,6395073.0,7258851.667,0.058716801,3455193922.0,50.747601998277,5928.620283547258,Unknown
deepikapadukone,IN,1544528.95,258,67796542,4756.226277,4012606.32,1638516.0,1181600.333,1181600.333,0.016576823,356276662.4,5.255086054389027,5986.546317829458,Unknown
tomholland2013,Unknown,5408241.0,1218,67657871,27396.79121,9892997.667,7582873.0,7582873.0,6994957.0,0.064857026,5372494748.0,79.40679581833132,4440.26354679803,Unknown
aliaabhatt,IN,1759431.125,1820,67428908,6892.528109,3586775.894,2220579.667,3554326.0,2127322.75,0.019699079,2469816438.0,36.62845078256347,966.7203983516484,Entertainment
ronaldinho,BR,891414.0833,2921,67398061,4286.83906,2453751.84,329519.25,261123.8571,347323.8824,0.010176239,2056555943.0,30.513577282290065,305.17428390962,Sports
emmawatson,US,1858345.0,344,67107508,6711.485577,4843114.412,0.0,0.0,0.0,0.020234094,531599519.7,7.9216101974759665,5402.165697674419,Unknown
bts.bighitofficial,UY,4172263.167,1150,65962589,35250.45547,4665768.0,2808383.0,3652298.5,3763044.455,0.051423221,3922108275.0,59.459586630233694,3628.054927826087,Unknown
katrinakaif,IN,1674335.25,997,65597009,8971.833741,4732693.98,0.0,539443.0,539443.0,0.021554421,1465534440.0,22.34148267339445,1679.373370110331,Entertainment
justintimberlake,US,614677.0,780,65477707,6039.921053,2640031.696,0.0,194952.5,198150.3333,0.007889871,463379324.6,7.076902137089193,788.0474358974359,Unknown
marvel,TR,328737.6,6907,65358436,1066.221972,960153.792,183257.7778,193248.3529,260000.9091,0.004710065,2183794248.0,33.41258423013672,47.59484580859997,Trailers
camila_cabello,US,1853523.929,2884,64375364,7368.125721,3185373.071,1579814.0,1532900.0,1287657.571,0.021926529,4108558581.0,63.821908346801735,642.6920696948682,Unknown
willsmith,US,1408560.333,1362,64260079,12989.69912,6291661.438,0.0,0.0,0.0,0.017660171,1592410052.0,24.780704860322377,1034.185266519824,Unknown
raffinagita1717,ID,387143.9677,9946,62899363,3716.759682,1322062.762,486322.5,456141.1463,434216.0972,0.004511026,2845083966.0,45.23231763094326,38.92458955358938,Entertainment
anitta,US,857234.1125,5091,62896138,7632.59474,2681297.324,426274.5,420654.2857,414450.1538,0.010235395,3299352415.0,52.45715428505324,168.38226527204873,Unknown
maluma,CO,1195150.815,8164,62706097,8056.752786,2901785.472,901334.5,948883.75,1025142.0,0.013709746,7013538807.0,111.84779698535534,146.3927994855463,Unknown
akshaykumar,Unknown,1516770.0,1860,62614053,7210.882569,4092468.354,341912.0,391342.6667,572411.625,0.019009017,2262917438.0,36.14072767338668,815.4677419354839,Entertainment
jacquelinef143,IN,1143262.333,2433,62118961,4780.738944,2415085.358,615704.5,803217.0,648666.5556,0.013906764,2150588613.0,34.620485893188075,469.89820509658864,Entertainment
sooyaaa__,Unknown,4493906.633,824,62062471,35145.84691,3985933.902,0.0,6468019.0,6001684.833,0.060021308,3098425603.0,49.92430293341043,5453.770185679612,Film & Animation
psg,FR,508990.4478,9761,61178714,1457.067602,2135978.162,291237.8077,371440.6531,359066.9355,0.007728083,4656362184.0,76.11082155143045,52.14531787726668,Sports
roses_are_rosie,Unknown,4586884.938,816,60940323,31561.8637,4699873.51,0.0,0.0,5593980.833,0.060629953,3047040084.0,50.00039274488256,5621.182522058823,Sports
anushkasharma,Unknown,1925204.75,1159,59276468,5906.839895,3641625.475,615775.5,615775.5,1184805.429,0.023876628,1691828822.0,28.5413230423918,1661.0912424503883,Education
manchesterunited,GB,384605.4114,9900,58974258,1878.230116,1809835.169,223269.7188,240808.5357,235152.1338,0.005463892,3227841600.0,54.73305997338704,38.849031454545454,Sports
whinderssonnunes,BR,1616371.15,2717,58591940,16203.31039,5257153.904,18141.0,18141.0,243302.25,0.021311146,3406386603.0,58.13746059611612,594.9102502760397,Unknown
9gag,US,678711.3186,10021,58181054,5559.041481,3613240.066,221743.5676,258582.8,268979.2949,0.008778909,5120849394.0,88.01575499130696,67.72890116754814,Pets & Animals
marcelotwelve,BR,693038.1667,2671,57439765,2503.037244,3041758.0,358287.3333,402644.375,650563.7059,0.010230087,1619994855.0,28.203368433001074,259.4676775365032,Shows
karimbenzema,ES,876565.0,2000,55869867,5392.554167,2973552.17,814691.25,791904.1667,997608.3333,0.013316958,1530303809.0,27.390503882889146,438.2825,Music
chrishemsworth,AU,2745384.0,859,55165178,8745.578947,6180484.385,0.0,1757045.75,1571159.5,0.036724414,1786296592.0,32.380872440944536,3196.023282887078,Trailers
paulpogba,FR,1397068.0,1279,54634350,5836.703371,2730445.296,353815.0,316381.6667,422788.75,0.019361239,1398741868.0,25.60187625550592,1092.312744331509,Unknown
iamzlatanibrahimovic,Unknown,1541239.417,868,54512391,7579.643077,6267214.269,353745.0,446872.0,521481.0,0.02039042,1012503423.4,18.573821562881,1775.621448156682,Sports
karolg,IN,3028630.75,3297,54422099,20350.10753,7802091.678,5904571.0,5904571.0,5904571.0,0.043755473,7821907155.0,143.72667167798875,918.6019866545344,People & Blogs
leonardodicaprio,Unknown,398191.4167,1680,54158640,3509.686924,1235508.434,55282.0,98298.25,120142.8333,0.006375211,628220066.7,11.59962781007795,237.01870041666663,Pets & Animals
milliebobbybrown,US,3987302.667,275,54105006,18188.15208,6851714.224,3417441.5,4831356.25,5021154.0,0.053835897,842894899.5,15.578870825742076,14499.282425454545,Unknown
juventus,Unknown,201090.7333,9974,54054171,952.7917355,840567.1208,153989.9565,139207.7179,121662.6716,0.003212303,1775189710.0,32.840938583629374,20.16149321235212,Gaming
zacefron,US,2262103.5,663,53887887,9847.057143,5708580.759,0.0,0.0,0.0,0.030471489,1135195279.0,21.065871055586204,3411.920814479638,Movies
tatawerneck,BR,976812.5,5565,53554512,6598.756972,2908022.978,124830.0,149581.0,165887.5556,0.013100058,3918697598.0,73.17212783117135,175.52785265049417,Entertainment
bellahadid,GB,1132707.393,3125,53359256,2687.93328,2738503.616,1776348.667,1203778.333,1101626.167,0.015992599,2709492058.0,50.77829529707086,362.46636576,Unknown
robertdowneyjr,US,2984656.25,422,53210425,12541.23616,7258314.398,0.0,0.0,2106144.0,0.041367838,976605677.8,18.35365302569938,7072.645142180095,Entertainment
sunnyleone,Unknown,769200.1042,4559,53190031,3678.440476,1954614.246,517827.25,354785.7778,299836.7368,0.010290731,2529656058.0,47.55883782056829,168.72123364772975,Entertainment
ladygaga,US,1435302.767,3546,53092230,13384.04198,3540913.194,0.0,0.0,635763.3333,0.020373518,3839964431.0,72.32629767105281,404.7667137619853,Music
beingsalmankhan,IN,1399897.75,1173,52980205,17133.09769,3247875.586,0.0,411782.0,789300.3333,0.020451971,1302717992.0,24.58876842775524,1193.4337169650469,Entertainment
jbalvin,Unknown,920868.0,9999,52762698,5561.646259,3099539.4,163532.0,157988.8,273997.2222,0.014751861,7779658162.0,147.44617801765938,92.0960096009601,Gaming
sergioramos,Unknown,966414.75,2218,52261132,3086.92,0.0,409956.6667,515387.0,687255.5714,0.015554936,1846298772.0,35.32833487035834,435.7144950405771,Gaming
ayutingting92,ID,149139.9751,10018,52170594,849.2212544,934398.2594,40771.92857,57132.8,74728.48214,0.002178291,1181443634.0,22.6457769294327,14.88720054901178,Music
dishapatani,US,1615190.0,2128,52062772,6306.800613,3530372.619,865676.75,778869.0,1057708.444,0.022230538,2501040364.0,48.03893968611583,759.0178571428571,Entertainment
mosalah,Unknown,1786297.25,832,51823495,12480.28852,3191156.774,853353.0,1069706.375,1430160.077,0.029780921,1323187822.0,25.5325855965523,2146.991887019231,Unknown
433,NL,863448.1813,10319,50846051,4092.410533,3232599.669,696233.2344,730624.5455,810461.4091,0.013870396,7286032897.0,143.2959443989072,83.67556752592306,Unknown
hudabeauty,US,187183.8917,2330,50651842,2296.069552,1458333.507,18836.66667,19946.6,19626.22222,0.00273972,368581820.3,7.276770315677759,80.33643420600859,Fashion & Beauty
adele,US,4739484.5,418,50542177,32030.80282,15396176.31,2766306.0,2392644.25,2392644.25,0.067520576,1461958080.0,28.925506710959443,11338.47966507177,Unknown
michelleobama,Unknown,707602.75,592,50389066,6837.590123,1499868.049,225063.0,1922041.333,879917.3333,0.012858834,429652870.6,8.526708365660122,1195.2749155405406,Entertainment
jamesrodriguez10,CO,1414736.5,1054,49753046,10241.77727,3021228.5,0.0,317195.0,317195.0,0.022404381,1213577925.0,24.392032700872225,1342.254743833017,Sports
kritisanon,IN,898828.3333,2652,49721095,3057.467249,1558894.051,612749.0,778017.3333,736931.0,0.01338918,1806934693.0,36.34140987844295,338.92471089743594,Fashion & Beauty
krisjenner,US,354127.3869,6327,49106907,1544.50106,1364591.184,593222.8,502489.4286,450692.7273,0.006014648,1892062510.0,38.52945798439311,55.97082138454243,Entertainment
lelepons,US,2414815.0,2517,49030990,13184.88662,10147577.37,0.0,0.0,1566125.333,0.037231689,4611750712.0,94.05787466253486,959.4020659515296,Comedy
charlidamelio,Unknown,4278895.0,142,48873294,14338.71833,6469000.421,829608.3333,1128204.667,1265979.727,0.059700859,460656883.3,9.42553377515336,30133.06338028169,Entertainment
gucci,IT,116555.037,8791,48757827,482.4913715,478154.8653,91079.05,79127.54902,82038.1573,0.002286573,1017537540.7,20.869214304813053,13.25845034694574,Comedy
louisvuitton,FR,131578.75,6378,48520702,652.7503497,584823.4462,56271.25,97857.1875,103210.3506,0.002418278,781243851.6,16.10124790857313,20.63009564126685,Unknown
prillylatuconsina96,ID,377882.0,6420,48422538,1242.603787,1080167.675,97291.66667,147695.3077,210128.5217,0.005364222,1705000534.0,35.21088741775576,58.8601246105919,Entertainment
dovecameron,US,1609562.917,170,48100914,2931.680707,2165141.406,1071102.0,1071102.0,1675806.125,0.025254923,253068548.0,5.261200400474719,9468.017158823528,Entertainment
garethbale11,Unknown,764641.0,975,47821374,3405.626667,2267763.125,0.0,0.0,0.0,0.01280741,614714389.0,12.854385760643348,784.2471794871794,Sports
paulodybala,Unknown,1791513.813,1263,47720068,7572.242424,2566655.27,1046221.0,1076858.4,1110861.3,0.032377675,1891392060.0,39.63515014270307,1418.4590760095014,Sports
blackpinkofficial,Unknown,2116102.0,1380,47647921,13236.61959,2450013.594,1055841.667,1110203.556,1194622.2,0.035467975,2358862170.0,49.50608799909654,1533.4072463768116,Music
jokowi,Unknown,458723.7596,3471,47352198,4422.62436,1319494.071,269997.28,233081.6341,207972.1948,0.008144982,1369369361.0,28.918813040104283,132.15896271967733,Gaming
nusr_et,AE,730786.5833,2302,46891641,5602.495935,6350492.841,96628.0,96628.0,135454.0,0.012721242,1405154753.0,29.965996562159127,317.45724730668985,Unknown
5-Minute Crafts GIRLY,US,157499.2095,14519,46618064,342.3936151,1289001.772,10678.33333,14290.64706,13925.66667,0.002579351,1787981242.0,38.35382872184482,10.847800089537849,Trailers
vanessahudgens,US,636092.6531,4186,46343441,1561.742175,2315649.759,414691.0,269620.8,208674.4375,0.010429988,2062366780.0,44.501805120599485,151.9571555422838,Entertainment
thv,Unknown,15538683.0,57,46328487,0.307692308,24786355.33,13007870.0,13143209.8,13210996.56,0.3085183,859717641.9,18.55699802801676,272608.4736842105,Gaming
harrystyles,US,4896516.5,578,46292534,61609.1875,7518271.0,2704044.0,2722518.833,2975292.5,0.087132327,2326675115.0,50.260266914746985,8471.481833910035,Unknown
zayn,US,4713926.5,162,46197756,69133.05,8478669.75,4037963.0,4037963.0,3599999.5,0.077751482,616391355.2,13.342452287076457,29098.311728395063,Gaming & Apps
larissamanoela,BR,579900.9357,5156,46091767,6269.254213,948050.4762,170630.3333,326550.6154,210933.5313,0.009754238,2328175482.0,50.51174284552814,112.47108915826225,Autos & Vehicles
haileybieber,Unknown,2012107.0,2060,45916230,217.9825328,3680907.696,1785300.667,1395563.5,1548866.5,0.034464283,3291468278.0,71.68420138151586,976.7509708737864,Entertainment
thenotoriousmma,US,1137054.125,3106,45822094,4820.90449,3737464.061,253072.25,257922.4,296484.4242,0.018762904,2699495078.0,58.91252106462005,366.08310528010304,Unknown
daddyyankee,PR,650651.25,20,45807054,5624.246201,2122983.68,0.0,730517.0,764615.5,0.011222317,55972956.72,1.221928760579102,32532.5625,Music
travisscott,US,3014369.75,3154,45803997,12261.44957,5989754.571,800849.0,1241751.0,1845443.5,0.050786911,7336757695.0,160.17723726163024,955.729153455929,Unknown
natgeotravel,US,189864.0014,16939,45782549,455.8819358,718632.8378,46106.57143,47547.96429,48881.42623,0.003330427,2619504773.0,57.21622824015325,11.20869008796269,Travel & Events
nikefootball,US,431240.25,1797,45180601,903.1043771,699261.0222,143075.8,189492.5,175088.625,0.006958265,607968897.0,13.456414557212288,239.9778797996661,Sports
stephencurry30,Unknown,1090495.75,1037,44569769,3599.148036,1722571.053,1131963.0,891286.0,672278.3333,0.019264601,882010369.4,19.789431024423752,1051.5870298939249,Nonprofits & Activism
vancityreynolds,Unknown,1366929.0,678,44507303,5184.585366,2307511.0,1148011.0,1148011.0,1710696.5,0.026022528,819589577.3,18.41472122676137,2016.1194690265488,Gaming
luissuarez9,Unknown,801790.5,961,44043371,3327.197889,1969051.258,214295.0,255623.0,287933.6667,0.015129006,671608228.5,15.24879257085022,834.3293444328824,Travel & Events
maisa,BR,564755.7333,1452,43950253,2424.506885,1038532.797,1428235.333,719729.4444,525544.1364,0.010315599,664279572.2,15.114351496452135,388.9502295454545,Nonprofits & Activism
gusttavolima,BR,476983.7143,4853,43727522,6853.556216,934089.0609,365223.0,370564.4,509534.75,0.008851176,1874826808.0,42.87521273215528,98.28636189985576,Shows
hrithikroshan,CI,1615511.5,583,43427057,6873.607692,2896416.324,1127068.0,1203815.667,1738841.2,0.027432913,729621949.6,16.801091301213436,2771.031732418525,News & Politics
